nom;omm;id;cccc;mf;lat;lon;alt_axe;ouverture_faisceau;portee;1_A;1_B;1_C;1_D;1_E;1_F;1_G;1_H;1_I;1_J;2_A;2_B;2_C;2_D;2_E;2_F;2_G;2_H;2_I;2_J;3_A;3_B;3_C;3_D;3_E;3_F;3_G;3_H;3_I;3_J
Abbeville;7005;ABBE;LFPW;40;50.13595;1.8347;0.0836;1.1;256;90.0;7.5;0.9;1.5;4.5;0.4;;;;;9.5;6.5;0.9;1.5;3.5;0.4;;;;;8.5;5.5;0.9;1.5;2.5;0.4;;;;
Ajaccio;7760;AJAC;LFPW;37;41.95313;8.70054;0.784;1.1;256;90.0;3.6;2.2;1.4;0.8;0.4;;;;;6.0;3.6;2.2;1.4;0.8;0.4;;;;;4.8;3.6;2.2;1.4;0.8;0.4;;;;
Aleria;7774;ALER;LFPW;61;42.12971;9.49639;0.063;1.24;256;90.0;6.5;2.5;1.4;1.0;0.6;;;;;9.5;5.0;2.5;1.4;1.0;0.6;;;;;8.0;3.5;2.5;1.4;1.0;0.6;;;;
Arcis;7168;TROY;LFPW;52;48.46213;4.30932;0.1648;1.1;256;90.0;8.0;5.0;2.0;1.1;0.4;;;;;10.0;7.0;4.0;2.0;1.1;0.4;;;;;9.0;6.0;3.0;2.0;1.1;0.4;;;;
Avesnes;7083;AVES;LFPW;63;50.12832;3.81181;0.2088;1.1;256;90.0;4.6;1.6;1.0;0.4;;;;;;8.0;3.6;1.6;1.0;0.4;;;;;;6.0;2.6;1.6;1.0;0.4;;;;;
Blaisy;7274;BLAI;LFPW;65;47.35515;4.77594;0.6072;1.1;256;90.0;4.6;1.6;1.0;0.5;;;;;;8.0;3.6;1.6;1.0;0.5;;;;;;6.0;2.6;1.6;1.0;0.5;;;;;
Bollene;7569;BOLL;LFPW;55;44.32305;4.76221;0.325;1.25;256;90.0;2.4;1.8;1.2;0.8;0.4;;;;;5.0;2.4;1.8;1.2;0.8;0.4;;;;;3.5;2.4;1.8;1.2;0.8;0.4;;;;
Bordeaux;7510;BORD;LFPW;41;44.83147;-0.69188;0.07;1.1;256;90.0;4.0;3.0;1.5;0.8;0.4;;;;;7.0;5.0;3.0;1.5;0.8;0.4;;;;;8.0;6.0;3.0;1.5;0.8;0.4;;;;
Bourges;7255;BOUR;LFPW;42;47.05861;2.35955;0.1735;1.1;256;90.0;8.0;3.2;2.2;1.3;0.7;;;;;10.0;7.0;4.2;2.2;1.3;0.7;;;;;9.0;6.0;5.2;2.2;1.3;0.7;;;;
Cherves;7336;CHER;LFPW;64;46.69864;0.06555;0.1744;1.1;256;90.0;4.6;1.6;1.0;0.4;;;;;;8.0;3.6;1.6;1.0;0.4;;;;;;6.0;2.6;1.6;1.0;0.4;;;;;
Collobrieres;7671;COLL;LFPW;59;43.21656;6.37291;0.6537;1.25;256;90.0;3.6;2.2;1.4;0.4;0.8;;;;;6.0;3.6;2.2;1.4;0.4;0.8;;;;;4.8;3.6;2.2;1.4;0.4;0.8;;;;
Colombis;7578;COBI;LFPW;69;44.49611;6.22056;1.742;1.1;256;90.0;7.0;5.5;0.5;4.0;2.7;1.5;0.5;;;11.0;9.0;5.5;0.5;4.0;2.7;1.5;0.5;;;15.0;13.0;5.5;0.5;4.0;2.7;1.5;0.5;;
Colorado;61979;CORA;FMEE;92;-20.91178;55.42195;0.7498;1.25;400;90.0;7.5;3.0;1.4;0.8;0.0;;;;;10.5;6.0;2.5;1.4;0.8;0.0;;;;;9.0;4.5;2.1;1.4;0.8;0.0;;;;
Diamant;78924;DIAM;TFFF;91;14.5014;-61.0175;0.3849;1.24;400;90.0;6.0;2.0;1.2;0.6;0.0;;;;;9.0;4.5;2.0;1.2;0.6;0.0;;;;;7.5;3.0;2.0;1.2;0.6;0.0;;;;
Falaise;7027;CAEN;LFPW;45;48.92716;-0.14955;0.1674;1.1;256;90.0;5.0;2.0;1.2;0.8;0.4;;;;;8.0;6.0;3.0;1.2;0.8;0.4;;;;;9.0;7.0;4.0;1.2;0.8;0.4;;;;
Grezes;7436;GREZ;LFPW;44;45.1044;1.36967;0.3603;1.1;256;90.0;5.6;2.6;1.6;1.0;0.4;;;;;7.6;4.6;2.6;1.6;1.0;0.4;;;;;6.6;3.6;2.6;1.6;1.0;0.4;;;;
Jersey;3897;JERS;LFPW;24;49.1772;-2.224;0.085;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
La Dole;6699;LDOL;LFPW;25;46.4251;6.09943;1.681;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Le Moule;78891;LEMO;TFFR;90;16.31417;-61.34893;0.0384;1.25;400;90.0;4.4;3.0;1.6;0.8;0.0;;;;;12.0;4.4;3.0;1.6;0.8;0.0;;;;;6.0;4.4;3.0;1.6;0.8;0.0;;;;
Lifou;91582;LIFO;NWWL;96;-20.93884;167.21802;0.04645;1.65;256;5.8;4.8;3.8;2.8;1.8;0.8;;;;;6.8;4.8;3.8;2.8;1.8;0.8;;;;;7.8;4.8;3.8;2.8;1.8;0.8;;;;
